Date,Open ,High,Low,Close,Adj Close,Volume
"May 2, 2017",155.76,156.5,154.61,156.45,156.45,"5,384,800"
"May 28, 2019",354.39,361.2,353.65,355.06,355.06,"4,717,100"
"Jan 6, 2022",554.34,563.36,542.01,553.29,553.29,"5,711,800"
"Aug 25, 2014",68.79,69.33,68.22,68.7,68.7,"13,484,800"
"Mar 28, 2005",1.38,1.42,1.36,1.4,1.4,"12,515,300"
"Oct 29, 2002",0.68,0.68,0.63,0.66,0.66,"2,004,800"
"Aug 31, 2011",34.13,34.55,32.98,33.57,33.57,"27,595,400"
"Jun 3, 2010",15.99,16.38,15.7,15.98,15.98,"18,261,600"
"Oct 12, 2004",2.57,2.57,2.44,2.47,2.47,"19,359,200"
"Jun 20, 2023",430.18,440,430,434.7,434.7,"4,756,000"
"Jul 28, 2011",37.76,38.67,37.59,38.09,38.09,"28,319,200"
"Nov 22, 2006",4.19,4.25,4.17,4.23,4.23,"2,942,100"
"Feb 13, 2007",3.32,3.32,3.26,3.27,3.27,"4,841,900"
"May 29, 2015",89.47,90.21,88.96,89.15,89.15,"12,712,000"
"Jul 7, 2003",1.96,2.04,1.88,1.91,1.91,"19,467,000"
"Nov 21, 2008",2.71,2.87,2.6,2.86,2.86,"11,310,600"
"Oct 17, 2013",46.03,47.17,45.67,47.16,47.16,"19,272,400"
"Oct 29, 2021",673.06,690.97,671.24,690.31,690.31,"3,825,300"
"Aug 30, 2006",2.78,2.88,2.77,2.87,2.87,"7,435,400"
"Dec 15, 2020",518.5,524.7,513.56,519.78,519.78,"3,394,900"
"Mar 15, 2012",15.05,15.81,15,15.74,15.74,"40,880,000"
"Oct 19, 2023",404.74,408.95,392.26,401.77,401.77,"28,074,400"
"Aug 18, 2022",241.96,246.48,239.28,245.17,245.17,"5,280,400"
"Nov 23, 2022",285.91,292.47,283.76,291.5,291.5,"5,919,000"
"Apr 21, 2021",508,515.46,503.6,508.9,508.9,"22,897,400"
"Mar 2, 2009",5.06,5.14,4.86,4.91,4.91,"15,885,100"
"Dec 5, 2003",3.4,3.46,3.34,3.39,3.39,"12,567,800"
"Sep 23, 2020",491.04,491.04,469,470.61,470.61,"3,726,400"
"Aug 8, 2005",3.02,3.13,3,3.11,3.11,"15,876,700"
"May 4, 2021",510.78,511.63,496.79,503.18,503.18,"4,349,500"
"Feb 19, 2015",67.86,68.71,67.57,67.8,67.8,"10,432,100"
"Jul 7, 2009",5.68,5.75,5.53,5.54,5.54,"7,216,300"
"Apr 25, 2007",3.1,3.16,3.05,3.08,3.08,"8,402,800"
"Mar 30, 2015",59.72,60.56,59.36,60.37,60.37,"13,272,700"
"May 6, 2010",13.87,14.43,12.86,13.85,13.85,"24,448,900"
"Jan 22, 2015",58.57,61.37,57.83,61.21,61.21,"33,319,300"
"Jan 30, 2006",4,4.01,3.91,3.94,3.94,"14,697,900"
"Sep 27, 2004",2.36,2.37,2.29,2.33,2.33,"7,327,600"
"Oct 20, 2016",121.97,123.75,121.06,123.35,123.35,"14,492,800"
"Jun 19, 2018",389.5,405.29,388.5,404.98,404.98,"16,697,100"
"Mar 22, 2005",1.34,1.34,1.31,1.31,1.31,"4,297,300"
"Feb 19, 2016",89.98,91.4,88.03,89.23,89.23,"14,259,200"
"Aug 22, 2023",409,415.74,407.4,413.17,413.17,"3,603,300"
"Oct 19, 2011",15.81,16.3,15.08,15.63,15.63,"60,456,900"
"Jun 28, 2017",151.64,154.2,150.12,153.41,153.41,"5,589,900"
"Aug 13, 2010",18.92,19.2,18.61,18.89,18.89,"47,224,800"
"Feb 29, 2024",604.25,604.52,595.16,602.92,602.92,"3,572,100"
"Aug 31, 2007",2.48,2.51,2.45,2.5,2.5,"4,745,300"
"Aug 19, 2015",123.5,123.7,121.5,122.06,122.06,"10,115,300"
"Aug 16, 2016",95.19,95.61,94.4,95.12,95.12,"6,311,300"
"Oct 10, 2008",3.19,3.55,3.09,3.47,3.47,"9,565,500"
"Oct 12, 2015",114.45,115.42,112.36,113.45,113.45,"12,624,500"
"Feb 6, 2012",17.6,18.66,17.41,18.46,18.46,"81,617,200"
"Jul 11, 2017",152.37,155.23,151.55,154.33,154.33,"4,898,600"
"Mar 15, 2017",144.2,145.52,143.23,145.25,145.25,"5,987,200"
"Jun 10, 2004",4.49,4.52,4.4,4.46,4.46,"3,894,100"
"Mar 14, 2024",615,620.8,607.35,613.01,613.01,"3,120,500"
"Oct 24, 2011",17.01,17.18,16.44,16.98,16.98,"120,460,200"
"May 30, 2003",1.63,1.64,1.58,1.61,1.61,"10,476,200"
"Mar 20, 2023",299.79,307.5,296,305.13,305.13,"5,113,400"
"May 9, 2012",10.3,10.7,10.19,10.62,10.62,"26,118,400"
"Jan 27, 2005",1.57,1.63,1.56,1.6,1.6,"6,914,600"
"Mar 1, 2016",94.58,99.16,93.61,98.3,98.3,"17,048,800"
"Feb 23, 2017",144.45,144.49,141.52,142.78,142.78,"4,668,000"
"Dec 12, 2002",0.91,0.91,0.89,0.9,0.9,"2,534,000"
"Mar 1, 2018",292.75,295.25,283.83,290.39,290.39,"11,932,100"
"Jul 8, 2003",1.93,1.97,1.91,1.96,1.96,"10,750,600"
"Apr 11, 2023",343.45,347.14,337.64,338.21,338.21,"4,044,800"
"Aug 22, 2005",3.07,3.11,3.02,3.06,3.06,"4,164,300"
"Aug 20, 2009",6.38,6.51,6.37,6.43,6.43,"6,836,900"
"Sep 14, 2012",8.36,8.77,8.33,8.65,8.65,"33,067,300"
"Nov 29, 2017",198.91,199.03,184.32,188.15,188.15,"14,202,700"
"Feb 17, 2015",66.52,67.37,65.94,67.14,67.14,"11,170,600"
"Jul 27, 2007",2.55,2.56,2.41,2.44,2.44,"20,304,900"
"Dec 1, 2011",9.2,9.78,9.14,9.6,9.6,"52,402,700"
"Sep 3, 2003",2.47,2.53,2.35,2.38,2.38,"23,833,600"
"Oct 30, 2009",7.86,8,7.62,7.64,7.64,"9,387,700"
"Nov 13, 2008",2.93,3.5,2.93,3.48,3.48,"13,511,400"
"Mar 10, 2005",1.42,1.44,1.41,1.41,1.41,"5,153,400"
"Mar 11, 2014",63.23,63.81,62.24,62.5,62.5,"10,448,200"
"Apr 21, 2008",5.51,5.8,5.51,5.62,5.62,"22,172,500"
